n_ws^third_composition_average,GSenergy_pa_composition_average,ICSDVolume_composition_average,GSenergy_pa_arithmetic_average,ThermalExpansionCoefficient_difference,IsSimpleCubic_composition_average,HeatVaporization_composition_average,GSvolume_pa_composition_average,ElasticModulus_min_value,ThermalExpansionCoefficient_composition_average,HeatVaporization_max_value,BoilingT_composition_average,Electronegativity_composition_average,HeatFusion_composition_average,AtomicVolume_difference,BCCenergy_pa_composition_average,MeltingT_max_value,MiracleRadius_min_value,BCCvolume_pa_composition_average,SecondIonizationEnergy_min_value
1.41,-8.545958555,23.2,-8.545958555,0.0,0.0,590.5,23.195,94.0,5.7,590.5,4682.0,1.33,21.0,0.0,-8.46727487,2128.0,158.0,22.75,13.13
1.087,-2.178958224666,34.92,-2.20028637111,60.0,0.0,166.291,36.05183333334,2.4,35.4,290.37,1750.4,1.407,6.852,52.625571587451205,-2.144616247,923.0,155.0,33.429,14.632
1.2959999999999998,-5.331830834,28.78,-5.601353933333334,31.1,0.0,428.009,28.1185,7.0,9.74,715.0,3571.2,1.526,27.8582,28.70555640351138,-4.3826521540000005,3823.0,77.0,28.688,11.059
1.6655555555555557,-6.818911105371111,13.466666666666669,-6.539251614723334,18.4,0.0,462.12,13.091666666666663,70.5,11.58888888888889,567.77,3846.0,1.9677777777777776,31.876666666666672,9.29665725222516,-6.129683714444445,2607.0,88.0,13.18,16.76
1.3133333333333332,-3.80537969889,26.1,-3.80537969889,19.0,0.0,251.1233333333333,25.1811111111,20.0,17.6,324.43,2708.0,2.033333333333333,9.694666666666668,14.1933162942844,-3.733983863333333,1747.0,143.0,25.32333333333333,11.805
0.0,-1.1157968783333334,30.2,-0.8246648387500001,1547.0,0.6666666666666666,6.3932,24.355,0.0,1284.3333333333333,12.64,111.58666666666667,3.52,0.9266666666666667,18351.3154570115,-0.8696489666666667,161.3,0.0,31.185,21.21
0.4066666666666667,-4.265329296943333,27.666666666666664,-4.34938558604,60.4,0.0,83.33333333333334,27.60458333333333,19.0,49.86666666666667,230.0,1425.1466666666663,2.1266666666666665,4.930666666666666,4.390454050864598,-3.486986346666667,1685.0,103.0,20.816666666666663,11.67
0.7028571428571428,-6.120739230954285,27.128571428571423,-6.617312018335,11.5,0.0,324.68857142857144,27.656190476171428,40.0,13.871428571428572,690.1,2870.714285714286,1.8857142857142857,22.78857142857143,15.954555742230395,-5.945205467142857,2750.0,140.0,23.962857142857143,14.32
0.3999999999999999,-1.6893241855566663,73.3,-2.052318765835,72.2,0.0,63.010000000000005,72.06944444443333,2.0,66.93333333333334,69.2,1061.0,1.2466666666666666,7.253333333333333,58.6842631224285,-1.5859975199999998,722.66,140.0,68.52666666666667,18.6
1.2466666666666666,-4.287980792223333,30.766666666666666,-4.373290018335,1.5999999999999996,0.0,45.31333333333333,31.6188888889,57.0,10.466666666666669,67.97,2407.666666666667,1.7699999999999998,16.576666666666668,1.918069311593904,-4.08821238,1629.0,155.0,28.766666666666666,11.525
1.6333333333333333,-5.9405286975000005,15.983333333333333,-7.5460369525,5.9,0.0,437.9283333333333,15.708333333333332,127.0,10.816666666666666,661.07,3509.333333333333,2.05,18.48333333333333,7.570324925877101,-5.871618976666666,2506.0,142.0,15.703333333333337,14.925
0.512,-5.289072776,21.08,-5.643926690000001,774.3,0.6,155.72654,15.724,20.0,474.9,590.5,1394.86,2.7960000000000003,5.2868,18568.93122322021,-3.885860854,2128.0,64.0,14.532,13.13
0.6875,-3.363100125,23.3,-3.327202863333333,26.1,0.0,148.5175,21.1625,20.0,33.0,290.8,1785.75,2.16,8.8475,10.6143801083177,-3.0429121299999995,1234.93,118.0,18.365,18.828
1.3833333333333333,-4.628118202223334,25.6,-4.628118202223334,2.4000000000000004,0.0,153.75666666666666,25.90222222223333,57.0,10.733333333333333,393.3,2866.333333333333,1.82,15.56,17.4111064868193,-4.488578303333333,1828.05,142.0,24.559999999999995,11.525
1.27,-3.059933800833333,24.03333333333333,-3.059933800833333,25.0,0.0,256.9766666666667,23.238333333333333,11.0,18.366666666666667,399.57,2464.666666666667,1.52,6.2843333333333335,22.3249623840006,-2.977115593333333,1193.0,134.0,23.19,11.059
0.9333333333333332,-3.83783313125,21.4,-3.83783313125,54.6,0.0,97.67666666666666,21.430625,19.0,34.766666666666666,250.63,1346.5733333333333,2.23,12.487,10.0908978447804,-3.3125774366666665,1234.93,103.0,16.94333333333333,18.633
1.29,-3.5430520675,29.4,-3.5430520675,10.5,0.0,273.985,26.090000000000003,21.0,17.05,393.3,2496.5,1.6,12.64,28.238801033907897,-3.509136055,1828.05,142.0,25.645,11.871
1.1333333333333333,-1.03281751,28.03333333333333,-1.1431391525,5.699999999999999,0.0,109.24666666666668,24.37,18.0,28.9,128.0,1183.0,1.5466666666666666,6.693333333333333,22.1596464827641,-0.9827298466666666,1092.0,157.0,24.36,12.188
0.5433333333333333,-2.146072844443333,42.33333333333333,-2.146072844443333,37.0,0.0,83.44,38.54,2.4,57.66666666666666,147.1,1201.6666666666667,1.45,4.008333333333333,54.3038066032026,-1.9542639633333327,494.0,118.0,36.26,21.19
1.5583333333333331,-7.663708673333334,18.35,-7.350061953333334,232.7,0.0,442.4488,17.04479166666667,70.5,51.35,690.1,3452.035,1.8433333333333335,18.629166666666663,18575.90454210129,-6.939587243333333,2750.0,72.0,15.893333333333334,14.32
